# k1/kF k2/kF k3/kF P(k1) P(k2)       P(k3)       B0        BSN    N_tr    B2      B4
# 
9 8 1 1.51647842e+02 1.61821243e+02 1.49714310e+02 1.23420430e+05 0.00000000e+00 4.66200000e+03 -1.97201062e+05 3.89456543e+03
9 8 2 1.51647842e+02 1.61821243e+02 2.85095215e+02 9.09993438e+04 0.00000000e+00 1.32240000e+04 -2.09511891e+05 2.22654984e+05
9 8 3 1.51647842e+02 1.61821243e+02 4.02876801e+02 5.04754648e+04 0.00000000e+00 1.49760000e+04 -1.07011188e+05 9.20923438e+04
9 8 4 1.51647842e+02 1.61821243e+02 2.98621796e+02 1.04327555e+05 0.00000000e+00 2.49600000e+04 -2.13258125e+05 1.65509172e+05
9 8 5 1.51647842e+02 1.61821243e+02 2.49657516e+02 4.42818242e+04 0.00000000e+00 3.26880000e+04 -6.85189531e+04 -7.35596387e+03
9 8 6 1.51647842e+02 1.61821243e+02 2.07778030e+02 3.62042383e+04 0.00000000e+00 3.54000000e+04 -6.67139375e+04 3.15408770e+04
9 8 7 1.51647842e+02 1.61821243e+02 1.90599930e+02 6.02090742e+04 0.00000000e+00 4.05120000e+04 -1.17705031e+05 6.93730156e+04
9 8 8 1.51647842e+02 1.61821243e+02 1.61821243e+02 4.08370703e+04 0.00000000e+00 4.58880000e+04 -5.71618203e+04 -2.72691992e+04
9 9 1 1.51647842e+02 1.51647842e+02 1.49714310e+02 1.37271344e+05 0.00000000e+00 9.09600000e+03 -2.54701859e+05 1.22491711e+05
9 9 2 1.51647842e+02 1.51647842e+02 2.85095215e+02 -3.83869336e+04 0.00000000e+00 1.80000000e+04 6.77116016e+04 -1.63410908e+04
9 9 3 1.51647842e+02 1.51647842e+02 4.02876801e+02 1.18545797e+05 0.00000000e+00 1.98720000e+04 -2.03092656e+05 4.51229023e+04
9 9 4 1.51647842e+02 1.51647842e+02 2.98621796e+02 7.28293828e+04 0.00000000e+00 3.28560000e+04 -1.58931188e+05 1.43663484e+05
9 9 5 1.51647842e+02 1.51647842e+02 2.49657516e+02 4.54108125e+04 0.00000000e+00 4.38240000e+04 -6.77006172e+04 -1.94821973e+04
9 9 6 1.51647842e+02 1.51647842e+02 2.07778030e+02 5.02854258e+04 0.00000000e+00 4.66800000e+04 -1.12106281e+05 1.15746383e+05
